rank,skill_name,owner_repo,installs,page_url,category
,web-component-design,wshobson/agents,,https://skills.sh/wshobson/agents/web-component-design,all_time
,visual-design-foundations,wshobson/agents,,https://skills.sh/wshobson/agents/visual-design-foundations,all_time
,langchain-architecture,wshobson/agents,,https://skills.sh/wshobson/agents/langchain-architecture,all_time
,git-advanced-workflows,wshobson/agents,,https://skills.sh/wshobson/agents/git-advanced-workflows,all_time
,microservices-patterns,wshobson/agents,,https://skills.sh/wshobson/agents/microservices-patterns,all_time
,debugging-strategies,wshobson/agents,,https://skills.sh/wshobson/agents/debugging-strategies,all_time
,uv-package-manager,wshobson/agents,,https://skills.sh/wshobson/agents/uv-package-manager,all_time
,rag-implementation,wshobson/agents,,https://skills.sh/wshobson/agents/rag-implementation,all_time
,docker-expert,sickn33/antigravity-awesome-skills,,https://skills.sh/sickn33/antigravity-awesome-skills/docker-expert,all_time
,code-reviewer,google-gemini/gemini-cli,,https://skills.sh/google-gemini/gemini-cli/code-reviewer,all_time
,golang-pro,jeffallan/claude-skills,,https://skills.sh/jeffallan/claude-skills/golang-pro,all_time
,accessibility-compliance,wshobson/agents,,https://skills.sh/wshobson/agents/accessibility-compliance,all_time
,flutter-expert,jeffallan/claude-skills,,https://skills.sh/jeffallan/claude-skills/flutter-expert,all_time
,auth-implementation-patterns,wshobson/agents,,https://skills.sh/wshobson/agents/auth-implementation-patterns,all_time
,vue-best-practices,vuejs-ai/skills,,https://skills.sh/vuejs-ai/skills/vue-best-practices,all_time
,architecture-decision-records,wshobson/agents,,https://skills.sh/wshobson/agents/architecture-decision-records,all_time
,python-packaging,wshobson/agents,,https://skills.sh/wshobson/agents/python-packaging,all_time
,deployment-pipeline-design,wshobson/agents,,https://skills.sh/wshobson/agents/deployment-pipeline-design,all_time
,rust-async-patterns,wshobson/agents,,https://skills.sh/wshobson/agents/rust-async-patterns,all_time
,convex,waynesutton/convexskills,,https://skills.sh/waynesutton/convexskills/convex,all_time
,vue-development-guides,vuejs-ai/skills,,https://skills.sh/vuejs-ai/skills/vue-development-guides,all_time
,database-migration,wshobson/agents,,https://skills.sh/wshobson/agents/database-migration,all_time
,kpi-dashboard-design,wshobson/agents,,https://skills.sh/wshobson/agents/kpi-dashboard-design,all_time
,changelog-automation,wshobson/agents,,https://skills.sh/wshobson/agents/changelog-automation,all_time
,react-email,resend/react-email,,https://skills.sh/resend/react-email/react-email,all_time
,secrets-management,wshobson/agents,,https://skills.sh/wshobson/agents/secrets-management,all_time
,data-storytelling,wshobson/agents,,https://skills.sh/wshobson/agents/data-storytelling,all_time
,frontend-code-review,langgenius/dify,,https://skills.sh/langgenius/dify/frontend-code-review,all_time
,workflow-orchestration-patterns,wshobson/agents,,https://skills.sh/wshobson/agents/workflow-orchestration-patterns,all_time
